"sex"	"age"	"edu"	"occ"	"oexp"	"income"
"1800"	"f"	54	"low"	"low"	32	1341
"1801"	"m"	49	"low"	"med."	32	1468
"1802"	"f"	30	"med."	"med."	7	1147
"1803"	"m"	44	"low"	"med."	26	1400
"1804"	"m"	58	"low"	"med."	38	1144
"1805"	"m"	46	"low"	"med."	28	1317
"1806"	"f"	42	"med."	"med."	14	1054
"1807"	"f"	41	"low"	"med."	21	1077
"1808"	"m"	55	"high"	"high"	31	2002
"1809"	"m"	24	"high"	"high"	0	1457
"1810"	"m"	54	"low"	"low"	35	1142
"1811"	"m"	58	"med."	"high"	38	1713
"1812"	"f"	26	"med."	"med."	1	1128
"1813"	"m"	58	"med."	"high"	39	1773
"1814"	"f"	24	"low"	"low"	0	780
"1815"	"f"	32	"low"	"low"	9	875
"1816"	"f"	55	"low"	"med."	30	1108
"1817"	"f"	51	"low"	"med."	29	1170
"1818"	"m"	30	"low"	"low"	11	1079
"1819"	"f"	62	"med."	"med."	36	1259
"1820"	"f"	43	"low"	"med."	19	973
"1821"	"f"	32	"high"	"med."	2	1304
"1822"	"f"	58	"low"	"low"	37	1114
"1823"	"m"	29	"low"	"low"	11	931
"1824"	"m"	47	"med."	"med."	26	1538
"1825"	"f"	38	"low"	"low"	13	1090
"1826"	"m"	40	"med."	"med."	18	1519
"1827"	"m"	42	"low"	"med."	22	1373
"1828"	"f"	57	"low"	"low"	34	1158
"1829"	"m"	26	"low"	"low"	8	1007
"1830"	"f"	22	"high"	"high"	0	1339
"1831"	"f"	60	"low"	"low"	40	1211
"1832"	"f"	35	"low"	"low"	12	1000
"1833"	"m"	50	"low"	"med."	32	1598
"1834"	"f"	32	"high"	"med."	8	1182
"1835"	"m"	26	"low"	"low"	7	1120
"1836"	"m"	49	"low"	"med."	32	1181
"1837"	"f"	37	"low"	"low"	19	1092
"1838"	"f"	34	"high"	"med."	6	1049
"1839"	"f"	52	"med."	"high"	31	1413
"1840"	"m"	37	"low"	"low"	20	1264
"1841"	"m"	57	"high"	"high"	32	1816
"1842"	"m"	38	"high"	"high"	13	1574
"1843"	"m"	48	"med."	"high"	27	1669
"1844"	"m"	25	"low"	"low"	8	1217
"1845"	"f"	49	"med."	"med."	24	1292
"1846"	"m"	26	"low"	"low"	7	1051
"1847"	"m"	32	"med."	"med."	11	1200
"1848"	"m"	42	"med."	"med."	21	1325
"1849"	"f"	30	"med."	"low"	4	1050
"1850"	"m"	26	"med."	"low"	4	1093
"1851"	"f"	34	"low"	"med."	16	1071
"1852"	"f"	46	"high"	"high"	19	1578
"1853"	"m"	47	"med."	"med."	27	1374
"1854"	"m"	23	"med."	"med."	3	1039
"1855"	"f"	29	"low"	"low"	9	823
"1856"	"f"	57	"high"	"high"	28	1510
"1857"	"f"	55	"low"	"low"	35	855
"1858"	"m"	28	"low"	"low"	11	1222
"1859"	"m"	56	"med."	"high"	36	1574
"1860"	"m"	52	"low"	"med."	33	1413
"1861"	"m"	31	"med."	"high"	11	1546
"1862"	"m"	19	"med."	"med."	0	1192
"1863"	"f"	53	"low"	"low"	28	1060
"1864"	"m"	62	"high"	"high"	37	1817
"1865"	"f"	26	"med."	"low"	0	863
"1866"	"m"	54	"low"	"med."	37	1516
"1867"	"f"	37	"high"	"high"	9	1448
"1868"	"f"	52	"med."	"med."	25	1142
"1869"	"m"	48	"med."	"med."	27	1558
"1870"	"m"	56	"low"	"med."	38	1551
"1871"	"m"	51	"low"	"med."	32	1066
"1872"	"m"	26	"low"	"low"	8	978
"1873"	"m"	62	"med."	"high"	42	1907
"1874"	"m"	36	"low"	"low"	17	1160
"1875"	"m"	22	"high"	"med."	0	1199
"1876"	"m"	47	"med."	"med."	25	1418
"1877"	"m"	44	"high"	"high"	18	1641
"1878"	"m"	33	"high"	"med."	6	1635
"1879"	"m"	54	"low"	"high"	36	1568
"1880"	"f"	45	"med."	"low"	19	1235
"1881"	"m"	30	"low"	"med."	14	1305
"1882"	"m"	33	"low"	"low"	15	1193
"1883"	"f"	33	"high"	"high"	6	1253
"1884"	"m"	30	"med."	"med."	8	1355
"1885"	"m"	56	"med."	"high"	35	1556
"1886"	"m"	58	"low"	"high"	40	1495
"1887"	"f"	35	"med."	"med."	13	1123
"1888"	"m"	28	"low"	"med."	11	1453
"1889"	"m"	64	"low"	"high"	45	1572
"1890"	"m"	45	"med."	"med."	23	1584
"1891"	"f"	24	"med."	"low"	0	823
"1892"	"m"	60	"high"	"high"	34	1565
"1893"	"f"	32	"med."	"med."	7	1066
"1894"	"f"	41	"med."	"med."	16	1133
"1895"	"m"	58	"high"	"high"	34	1719
"1896"	"f"	53	"med."	"med."	26	1242
"1897"	"f"	31	"low"	"low"	10	1136
"1898"	"m"	39	"high"	"high"	13	1621
"1899"	"m"	40	"med."	"med."	20	1163
"1900"	"m"	45	"med."	"high"	24	1497
"1901"	"m"	23	"med."	"med."	1	1068
"1902"	"m"	34	"low"	"med."	17	1208
"1903"	"m"	28	"med."	"med."	8	1164
"1904"	"m"	50	"high"	"high"	26	1591
"1905"	"m"	62	"med."	"high"	43	1438
"1906"	"f"	26	"low"	"low"	0	782
"1907"	"m"	56	"low"	"high"	38	1456
"1908"	"m"	41	"high"	"high"	15	1600
"1909"	"m"	41	"low"	"low"	23	1117
"1910"	"f"	32	"low"	"low"	10	753
"1911"	"m"	52	"low"	"high"	33	1734
"1912"	"m"	48	"low"	"med."	28	1157
"1913"	"m"	30	"low"	"med."	11	1075
"1914"	"m"	53	"low"	"med."	35	1409
"1915"	"f"	55	"med."	"med."	28	1148
"1916"	"f"	29	"high"	"med."	0	1203
"1917"	"m"	46	"med."	"high"	26	1596
"1918"	"f"	45	"med."	"low"	27	977
"1919"	"m"	33	"med."	"high"	13	1523
"1920"	"f"	35	"low"	"low"	13	1002
"1921"	"m"	31	"med."	"med."	12	1516
"1922"	"m"	28	"low"	"med."	11	1256
"1923"	"m"	25	"low"	"low"	8	1429
"1924"	"f"	33	"high"	"high"	5	1659
"1925"	"f"	35	"med."	"med."	12	1141
"1926"	"f"	59	"med."	"high"	34	1399
"1927"	"m"	57	"low"	"high"	39	1370
